PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,NATUREZA,VALOR,QUANTIDADE,TICKET_MEDIO
1,1,0,4,4,6,9,1765603500000.0,30585000,57727.758705247674
1,1,3,3,2,4,9,32682420000.0,388000,84233.0412371134
1,1,4,5,6,5,9,10970832960000.0,25569000,429067.7367124252
2,1,3,4,1,2,2,75786770000.0,991000,76475.04540867811
1,1,1,4,0,5,9,491500000.0,6000,81916.66666666667
1,1,4,2,4,6,9,91317390000.0,270000,338212.55555555556
1,1,5,3,3,0,9,518000000.0,8000,64750.0
1,1,4,4,4,3,9,56186683010000.0,1893270000,29677.05768854944
1,1,3,4,2,4,9,122867600000.0,502000,244756.17529880477
1,1,1,4,4,6,9,6940329500000.0,206905000,33543.55622145429
1,2,5,3,3,1,7,356162310000.0,283000,1258524.0636042403
2,2,4,4,1,1,3,94146275520000.0,16164000,5824441.692650334
1,2,3,5,3,1,8,711890000.0,18000,39549.444444444445
1,1,5,5,4,2,9,4085843390000.0,63886000,63955.223210092976
1,1,1,2,5,7,9,296353340000.0,9015000,32873.35995562951
1,1,2,2,3,3,9,10984154270000.0,56441000,194613.0343190234
1,2,1,2,6,1,8,2158320000.0,12000,179860.0
1,2,4,1,5,1,8,13095180000.0,26000,503660.76923076925
1,1,0,5,4,3,9,321627420000.0,7255000,44331.82908339077
1,2,5,5,3,1,7,503929846460000.0,4943783000,101932.03189945836
1,2,2,4,5,1,7,1066167868350000.0,19165982000,55628.13678683409
2,1,4,2,1,6,2,503729990000.0,2845000,177057.992970123
1,1,3,0,4,2,9,1415000000.0,6000,235833.33333333334
1,2,2,4,5,1,7,142836140620000.0,789871000,180834.77000674795
1,1,4,2,7,3,9,1447156300000.0,8019000,180465.93091407907
1,1,4,0,4,7,9,612551090000.0,14375000,42612.249739130435
1,1,4,5,6,2,9,12805710000.0,349000,36692.578796561604
1,1,5,2,2,2,9,13579290000.0,613000,22152.185970636216
1,1,0,5,6,3,9,80217130000.0,1678000,47805.20262216925
2,1,2,2,1,0,2,2417800000.0,8000,302225.0
1,2,5,5,7,1,7,3230000000.0,17000,190000.0
1,1,1,5,3,7,9,2506928710000.0,8557000,292968.1792684352
1,1,0,1,2,3,9,112975730000.0,1273000,88747.6276512176
1,2,4,3,2,1,7,232900000.0,6000,38816.666666666664
1,1,0,4,5,5,9,1253729460000.0,28560000,43898.09033613445
1,1,1,4,5,5,9,280808012420000.03,1052730000,266742.67135922797
2,1,0,1,1,7,2,67030130000.0,498000,134598.6546184739
1,1,1,0,4,7,9,22710765940000.0,78380000,289752.0533299311
1,1,1,5,5,7,9,2093881190000.0,4947000,423262.8239336972
1,2,1,5,7,1,7,426000000.0,2000,213000.0
1,2,3,5,7,1,7,4232711130000.0,1859000,2276875.2716514254
1,1,2,2,4,7,9,2400000000.0,3000,800000.0
1,1,2,2,6,3,9,6536807070000.0,200350000,32626.93820813576
2,1,4,0,1,5,2,829894931090000.0,3663496000,226530.86862657964
1,2,5,5,7,1,8,943170000.0,14000,67369.28571428571
2,1,2,2,1,6,5,545627820000.0,278000,1962690.0
2,2,5,1,1,1,4,37910000.0,1000,37910.0
1,1,1,2,3,4,9,239749040000.0,1369000,175127.1292914536
2,2,5,3,1,1,0,1033144530000.0,1308000,789865.8486238532
1,1,3,2,3,4,9,26793760000.0,731000,36653.57045143639
1,2,4,4,3,1,8,2724126370000.0,9581000,284325.8918693247
2,1,2,0,1,4,2,269240370000.0,353000,762720.5949008499
1,2,4,2,2,1,8,400800000.0,2000,200400.0
1,1,0,0,4,6,9,935589861460000.0,2680080000,349090.27396943374
2,1,1,2,1,5,2,315935130000.0,3409000,92676.77618069816
1,1,3,2,2,7,9,430500000.0,28000,15375.0
1,1,4,4,0,3,9,246000000.0,5000,49200.0
1,1,3,1,3,2,9,242437440000.0,1253000,193485.58659217876
1,2,0,1,6,1,7,84196720000.0,393000,214241.01781170483
1,1,0,2,2,3,9,221977750000.0,7297000,30420.41249828697
1,2,0,4,6,1,7,728156660000.0,295000,2468327.661016949
1,1,1,3,2,3,9,127123810000.0,1517000,83799.4792353329
2,1,3,4,1,4,2,31624600000.0,17000,1860270.5882352942
1,2,0,2,5,1,8,9473120000.0,29000,326659.3103448276
