;AnoMes;PAG_PFPJ;REC_PFPJ;PAG_REGIAO;REC_REGIAO;PAG_IDADE;REC_IDADE;FORMAINICIACAO;NATUREZA;FINALIDADE;VALOR;QUANTIDADE
0;2025-01-01 00:00:00;PF;PF;CENTRO-OESTE;SUDESTE;entre 30 e 39 anos;entre 50 e 59 anos;QRES;P2P;Pix;1765603500000,0;30585000
1;2025-01-01 00:00:00;PF;PF;Nao informado;Nao informado;até 19 anos;entre 30 e 39 anos;MANU;P2P;Pix;32682420000,0;388000
2;2025-01-01 00:00:00;PF;PF;SUDESTE;SUL;entre 50 e 59 anos;entre 40 e 49 anos;MANU;P2P;Pix;10970832960000,0;25569000
3;2025-01-01 00:00:00;PJ;PF;Nao informado;SUDESTE;Nao se aplica;até 19 anos;QRES;B2P;Pix;75786770000,0;991000
4;2025-01-01 00:00:00;PF;PF;NORDESTE;SUDESTE;Nao informado;entre 40 e 49 anos;MANU;P2P;Pix;491500000,0;6000
5;2025-01-01 00:00:00;PF;PF;SUDESTE;NORTE;entre 30 e 39 anos;entre 50 e 59 anos;Nao disponivel;P2P;Nao disponivel;91317390000,0;270000
6;2025-01-01 00:00:00;PF;PF;SUL;Nao informado;entre 20 e 29 anos;Nao informado;MANU;P2P;Pix;518000000,0;8000
7;2025-01-01 00:00:00;PF;PF;SUDESTE;SUDESTE;entre 30 e 39 anos;entre 20 e 29 anos;QRDN;P2P;Pix;56186683010000,0;1893270000
8;2025-01-01 00:00:00;PF;PF;Nao informado;SUDESTE;até 19 anos;entre 30 e 39 anos;DICT;P2P;Pix;122867600000,0;502000
9;2025-01-01 00:00:00;PF;PF;NORDESTE;SUDESTE;entre 30 e 39 anos;entre 50 e 59 anos;QRES;P2P;Pix;6940329500000,0;206905000
10;2025-01-01 00:00:00;PF;PJ;SUL;Nao informado;entre 20 e 29 anos;Nao se aplica;DICT;P2B;Pix;356162310000,0;283000
11;2025-01-01 00:00:00;PJ;PJ;SUDESTE;SUDESTE;Nao se aplica;Nao se aplica;DICT;G2B;Pix;94146275520000,0;16164000
12;2025-01-01 00:00:00;PF;PJ;Nao informado;SUL;entre 20 e 29 anos;Nao se aplica;QRES;P2G;Pix;711890000,0;18000
13;2025-01-01 00:00:00;PF;PF;SUL;SUL;entre 30 e 39 anos;até 19 anos;QRES;P2P;Pix;4085843390000,0;63886000
14;2025-01-01 00:00:00;PF;PF;NORDESTE;NORTE;entre 40 e 49 anos;mais de 60 anos;QRDN;P2P;Pix;296353340000,0;9015000
15;2025-01-01 00:00:00;PF;PF;NORTE;NORTE;entre 20 e 29 anos;entre 20 e 29 anos;Nao disponivel;P2P;Nao disponivel;10984154270000,0;56441000
